[2022-03-12 19:08:59,331] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
2022-03-13 22:10:45,260 : INFO : 127.0.0.1 - - [13/Mar/2022 22:10:45] "GET /argosData HTTP/1.1" 200 -
2022-03-13 22:10:50,231 : INFO : Looking for devices....
2022-03-13 22:14:09,017 : INFO : Argos server launched
2022-03-13 22:14:09,019 : INFO : Crazyflie server launched
2022-03-13 22:14:09,027 : INFO : app launched
2022-03-13 22:14:09,040 : INFO : Looking for devices....
2022-03-13 22:14:09,041 : INFO : Initialized PRRT driver.
2022-03-13 22:14:09,042 : INFO : Looking for devices....
2022-03-13 22:14:09,042 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 22:14:09,042 : INFO : Initialized PRRT driver.
2022-03-13 22:14:09,043 : INFO : Looking for devices....
2022-03-13 22:14:09,043 : INFO : Initialized PRRT driver.
2022-03-13 22:14:09,044 : INFO : Looking for devices....
2022-03-13 22:14:09,044 : INFO : Initialized PRRT driver.
2022-03-13 22:14:09,044 : INFO : getting drones.................
2022-03-13 22:14:09,044 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:14:11,045 : INFO : 127.0.0.1 - - [13/Mar/2022 22:14:11] "GET / HTTP/1.1" 200 -
2022-03-13 22:14:14,049 : INFO : Looking for devices....
2022-03-13 22:14:14,049 : INFO : Initialized PRRT driver.
2022-03-13 22:14:14,050 : INFO : Looking for devices....
2022-03-13 22:14:14,050 : INFO : Initialized PRRT driver.
2022-03-13 22:14:14,051 : INFO : Looking for devices....
2022-03-13 22:14:14,051 : INFO : Initialized PRRT driver.
2022-03-13 22:14:14,052 : INFO : Looking for devices....
2022-03-13 22:14:14,052 : INFO : Initialized PRRT driver.
2022-03-13 22:14:14,052 : INFO : getting drones.................
2022-03-13 22:14:14,052 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:14:19,054 : INFO : Looking for devices....
2022-03-13 22:14:19,055 : INFO : Initialized PRRT driver.
2022-03-13 22:14:19,056 : INFO : Looking for devices....
2022-03-13 22:14:19,057 : INFO : Initialized PRRT driver.
2022-03-13 22:14:19,058 : INFO : Looking for devices....
2022-03-13 22:14:19,058 : INFO : Initialized PRRT driver.
2022-03-13 22:14:19,059 : INFO : Looking for devices....
2022-03-13 22:14:19,060 : INFO : Initialized PRRT driver.
2022-03-13 22:14:19,060 : INFO : getting drones.................
2022-03-13 22:14:19,060 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:14:24,066 : INFO : Looking for devices....
2022-03-13 22:14:24,066 : INFO : Initialized PRRT driver.
2022-03-13 22:14:24,067 : INFO : Looking for devices....
2022-03-13 22:14:24,068 : INFO : Initialized PRRT driver.
2022-03-13 22:14:24,069 : INFO : Looking for devices....
2022-03-13 22:14:24,070 : INFO : Initialized PRRT driver.
2022-03-13 22:14:24,071 : INFO : Looking for devices....
2022-03-13 22:14:24,073 : INFO : Initialized PRRT driver.
2022-03-13 22:14:24,073 : INFO : getting drones.................
2022-03-13 22:14:24,073 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:20:24,860 : INFO : Argos server launched
2022-03-13 22:20:24,875 : INFO : Crazyflie server launched
2022-03-13 22:20:24,880 : INFO : Looking for devices....
2022-03-13 22:20:24,880 : INFO : app launched
2022-03-13 22:20:24,881 : INFO : Initialized PRRT driver.
